length_interval,file_name,pair_amount,no_co_occurrence_amount
bn_0_5,cnn_0052.v4_gold_conll,3,2
bn_0_5,cnn_0057.v4_gold_conll,2,1
bn_0_5,cnn_0064.v4_gold_conll,4,4
bn_0_5,cnn_0092.v4_gold_conll,2,2
bn_0_5,cnn_0102.v4_gold_conll,2,1
bn_0_5,cnn_0122.v4_gold_conll,2,2
bn_0_5,cnn_0177.v4_gold_conll,4,1
bn_0_5,cnn_0193.v4_gold_conll,4,3
bn_0_5,cnn_0214.v4_gold_conll,4,2
bn_0_5,cnn_0262.v4_gold_conll,2,2
bn_0_5,cnn_0421.v4_gold_conll,4,2
bn_0_5,nbc_0017.v4_gold_conll,2,2
bn_0_5,pri_0008.v4_gold_conll,3,3
bn_0_5,voa_0013.v4_gold_conll,3,2
bn_0_5,voa_0017.v4_gold_conll,1,1
bn_0_5,voa_0034.v4_gold_conll,2,1
bn_0_5,voa_0043.v4_gold_conll,0,0
bn_0_5,voa_0046.v4_gold_conll,4,1
bn_0_5,voa_0058.v4_gold_conll,3,2
bn_0_5,voa_0087.v4_gold_conll,3,1
bn_0_5,voa_0104.v4_gold_conll,3,3
bn_0_5,voa_0112.v4_gold_conll,2,2
bn_0_5,voa_0125.v4_gold_conll,1,1
bn_0_5,voa_0127.v4_gold_conll,3,2
bn_0_5,voa_0162.v4_gold_conll,1,1
bn_0_5,voa_0182.v4_gold_conll,1,1
bn_0_5,voa_0184.v4_gold_conll,3,3
bn_0_5,voa_0203.v4_gold_conll,1,1
bn_0_5,voa_0208.v4_gold_conll,2,2
bn_0_5,voa_0258.v4_gold_conll,1,1
bn_10_15,cnn_0005.v4_gold_conll,11,7
bn_10_15,cnn_0067.v4_gold_conll,14,7
bn_10_15,cnn_0111.v4_gold_conll,11,6
bn_10_15,cnn_0145.v4_gold_conll,12,4
bn_10_15,cnn_0156.v4_gold_conll,10,5
bn_10_15,cnn_0246.v4_gold_conll,10,4
bn_10_15,cnn_0263.v4_gold_conll,11,8
bn_10_15,cnn_0275.v4_gold_conll,13,5
bn_10_15,cnn_0356.v4_gold_conll,11,4
bn_10_15,cnn_0361.v4_gold_conll,10,7
bn_10_15,cnn_0364.v4_gold_conll,13,9
bn_10_15,cnn_0381.v4_gold_conll,13,4
bn_10_15,cnn_0384.v4_gold_conll,14,4
bn_10_15,cnn_0417.v4_gold_conll,11,7
bn_10_15,cnn_0422.v4_gold_conll,11,5
bn_10_15,mnb_0002.v4_gold_conll,12,6
bn_10_15,mnb_0005.v4_gold_conll,14,10
bn_10_15,pri_0007.v4_gold_conll,12,5
bn_10_15,pri_0018.v4_gold_conll,11,6
bn_10_15,pri_0025.v4_gold_conll,12,9
bn_10_15,pri_0032.v4_gold_conll,10,6
bn_10_15,pri_0034.v4_gold_conll,13,6
bn_10_15,pri_0102.v4_gold_conll,11,5
bn_10_15,voa_0024.v4_gold_conll,14,9
bn_10_15,voa_0032.v4_gold_conll,14,8
bn_10_15,voa_0113.v4_gold_conll,12,10
bn_10_15,voa_0117.v4_gold_conll,12,6
bn_10_15,voa_0122.v4_gold_conll,10,5
bn_10_15,voa_0246.v4_gold_conll,14,11
bn_10_15,voa_0252.v4_gold_conll,10,3
bn_15_20,abc_0007.v4_gold_conll,18,7
bn_15_20,abc_0016.v4_gold_conll,18,9
bn_15_20,abc_0048.v4_gold_conll,17,4
bn_15_20,abc_0067.v4_gold_conll,15,8
bn_15_20,cnn_0058.v4_gold_conll,17,2
bn_15_20,cnn_0096.v4_gold_conll,15,4
bn_15_20,cnn_0147.v4_gold_conll,15,2
bn_15_20,cnn_0175.v4_gold_conll,15,10
bn_15_20,cnn_0185.v4_gold_conll,16,3
bn_15_20,cnn_0231.v4_gold_conll,16,7
bn_15_20,cnn_0245.v4_gold_conll,16,9
bn_15_20,cnn_0252.v4_gold_conll,18,2
bn_15_20,cnn_0267.v4_gold_conll,17,10
bn_15_20,cnn_0337.v4_gold_conll,17,10
bn_15_20,cnn_0374.v4_gold_conll,17,6
bn_15_20,cnn_0386.v4_gold_conll,18,13
bn_15_20,mnb_0007.v4_gold_conll,17,7
bn_15_20,mnb_0016.v4_gold_conll,15,10
bn_15_20,nbc_0003.v4_gold_conll,15,3
bn_15_20,nbc_0005.v4_gold_conll,19,12
bn_15_20,nbc_0014.v4_gold_conll,15,7
bn_15_20,nbc_0015.v4_gold_conll,17,7
bn_15_20,nbc_0028.v4_gold_conll,15,7
bn_15_20,voa_0014.v4_gold_conll,16,11
bn_15_20,voa_0074.v4_gold_conll,16,13
bn_15_20,voa_0181.v4_gold_conll,17,12
bn_15_20,voa_0212.v4_gold_conll,18,13
bn_15_20,voa_0231.v4_gold_conll,18,8
bn_15_20,voa_0245.v4_gold_conll,18,12
bn_15_20,voa_0253.v4_gold_conll,16,13
bn_20_25,abc_0003.v4_gold_conll,23,17
bn_20_25,abc_0005.v4_gold_conll,20,9
bn_20_25,abc_0017.v4_gold_conll,23,11
bn_20_25,abc_0018.v4_gold_conll,21,6
bn_20_25,abc_0028.v4_gold_conll,23,9
bn_20_25,abc_0041.v4_gold_conll,24,7
bn_20_25,abc_0042.v4_gold_conll,21,6
bn_20_25,abc_0064.v4_gold_conll,22,7
bn_20_25,cnn_0113.v4_gold_conll,22,13
bn_20_25,cnn_0152.v4_gold_conll,22,13
bn_20_25,cnn_0241.v4_gold_conll,22,16
bn_20_25,cnn_0265.v4_gold_conll,24,9
bn_20_25,cnn_0281.v4_gold_conll,21,10
bn_20_25,cnn_0283.v4_gold_conll,20,11
bn_20_25,cnn_0291.v4_gold_conll,20,5
bn_20_25,cnn_0314.v4_gold_conll,22,6
bn_20_25,cnn_0366.v4_gold_conll,24,13
bn_20_25,cnn_0371.v4_gold_conll,21,6
bn_20_25,cnn_0427.v4_gold_conll,22,7
bn_20_25,mnb_0012.v4_gold_conll,20,9
bn_20_25,mnb_0015.v4_gold_conll,23,9
bn_20_25,nbc_0004.v4_gold_conll,24,14
bn_20_25,nbc_0024.v4_gold_conll,23,9
bn_20_25,nbc_0026.v4_gold_conll,20,10
bn_20_25,nbc_0027.v4_gold_conll,21,7
bn_20_25,nbc_0033.v4_gold_conll,23,12
bn_20_25,pri_0112.v4_gold_conll,20,15
bn_20_25,voa_0075.v4_gold_conll,22,10
bn_20_25,voa_0163.v4_gold_conll,24,12
bn_20_25,voa_0235.v4_gold_conll,22,10
bn_25_30,abc_0001.v4_gold_conll,25,14
bn_25_30,abc_0015.v4_gold_conll,27,20
bn_25_30,abc_0051.v4_gold_conll,29,12
bn_25_30,abc_0052.v4_gold_conll,25,15
bn_25_30,abc_0063.v4_gold_conll,26,9
bn_25_30,cnn_0063.v4_gold_conll,27,12
bn_25_30,cnn_0141.v4_gold_conll,28,13
bn_25_30,cnn_0158.v4_gold_conll,26,8
bn_25_30,cnn_0208.v4_gold_conll,25,14
bn_25_30,cnn_0226.v4_gold_conll,25,14
bn_25_30,cnn_0254.v4_gold_conll,29,15
bn_25_30,cnn_0256.v4_gold_conll,25,9
bn_25_30,cnn_0257.v4_gold_conll,26,18
bn_25_30,cnn_0276.v4_gold_conll,29,9
bn_25_30,cnn_0313.v4_gold_conll,27,14
bn_25_30,cnn_0326.v4_gold_conll,27,6
bn_25_30,cnn_0347.v4_gold_conll,25,19
bn_25_30,cnn_0397.v4_gold_conll,28,15
bn_25_30,cnn_0423.v4_gold_conll,25,11
bn_25_30,mnb_0017.v4_gold_conll,26,5
bn_25_30,mnb_0025.v4_gold_conll,27,13
bn_25_30,nbc_0006.v4_gold_conll,26,10
bn_25_30,nbc_0008.v4_gold_conll,28,12
bn_25_30,nbc_0034.v4_gold_conll,27,18
bn_25_30,pri_0021.v4_gold_conll,29,21
bn_25_30,pri_0045.v4_gold_conll,28,20
bn_25_30,pri_0084.v4_gold_conll,29,17
bn_25_30,voa_0107.v4_gold_conll,28,18
bn_25_30,voa_0131.v4_gold_conll,27,15
bn_25_30,voa_0132.v4_gold_conll,27,19
bn_30_35,abc_0027.v4_gold_conll,33,18
bn_30_35,abc_0035.v4_gold_conll,34,5
bn_30_35,abc_0055.v4_gold_conll,34,16
bn_30_35,abc_0056.v4_gold_conll,32,3
bn_30_35,cnn_0198.v4_gold_conll,30,9
bn_30_35,cnn_0272.v4_gold_conll,30,16
bn_30_35,cnn_0288.v4_gold_conll,34,13
bn_30_35,cnn_0332.v4_gold_conll,33,23
bn_30_35,cnn_0334.v4_gold_conll,30,13
bn_30_35,cnn_0343.v4_gold_conll,31,10
bn_30_35,cnn_0383.v4_gold_conll,34,20
bn_30_35,cnn_0408.v4_gold_conll,31,16
bn_30_35,cnn_0426.v4_gold_conll,34,15
bn_30_35,mnb_0013.v4_gold_conll,33,16
bn_30_35,nbc_0001.v4_gold_conll,30,10
bn_30_35,pri_0006.v4_gold_conll,31,16
bn_30_35,pri_0028.v4_gold_conll,32,18
bn_30_35,pri_0064.v4_gold_conll,33,13
bn_30_35,pri_0066.v4_gold_conll,30,16
bn_30_35,pri_0071.v4_gold_conll,32,16
bn_30_35,pri_0078.v4_gold_conll,34,24
bn_30_35,pri_0105.v4_gold_conll,34,26
bn_30_35,voa_0061.v4_gold_conll,31,24
bn_35_40,abc_0014.v4_gold_conll,35,14
bn_35_40,cnn_0278.v4_gold_conll,37,19
bn_35_40,cnn_0311.v4_gold_conll,35,13
bn_35_40,cnn_0382.v4_gold_conll,39,14
bn_35_40,cnn_0404.v4_gold_conll,38,16
bn_35_40,cnn_0431.v4_gold_conll,39,16
bn_35_40,cnn_0433.v4_gold_conll,38,13
bn_35_40,mnb_0011.v4_gold_conll,38,26
bn_35_40,pri_0016.v4_gold_conll,37,24
bn_35_40,pri_0023.v4_gold_conll,39,25
bn_35_40,pri_0035.v4_gold_conll,37,29
bn_35_40,pri_0053.v4_gold_conll,37,17
bn_35_40,pri_0074.v4_gold_conll,35,26
bn_35_40,pri_0093.v4_gold_conll,35,27
bn_40_45,abc_0038.v4_gold_conll,41,34
bn_40_45,cnn_0324.v4_gold_conll,44,29
bn_40_45,cnn_0335.v4_gold_conll,40,17
bn_40_45,cnn_0432.v4_gold_conll,40,17
bn_40_45,nbc_0012.v4_gold_conll,44,25
bn_40_45,nbc_0016.v4_gold_conll,40,19
bn_40_45,pri_0005.v4_gold_conll,44,27
bn_40_45,pri_0027.v4_gold_conll,42,25
bn_40_45,pri_0038.v4_gold_conll,42,23
bn_40_45,pri_0048.v4_gold_conll,41,22
bn_40_45,pri_0076.v4_gold_conll,42,19
bn_40_45,pri_0103.v4_gold_conll,41,28
bn_40_45,pri_0106.v4_gold_conll,42,20
bn_45_50,cnn_0253.v4_gold_conll,48,23
bn_45_50,cnn_0338.v4_gold_conll,47,1
bn_45_50,cnn_0362.v4_gold_conll,49,20
bn_45_50,mnb_0023.v4_gold_conll,48,23
bn_45_50,pri_0026.v4_gold_conll,45,39
bn_45_50,pri_0094.v4_gold_conll,48,19
bn_45_50,pri_0096.v4_gold_conll,46,23
bn_5_10,cnn_0011.v4_gold_conll,6,3
bn_5_10,cnn_0034.v4_gold_conll,7,0
bn_5_10,cnn_0061.v4_gold_conll,6,2
bn_5_10,cnn_0083.v4_gold_conll,7,4
bn_5_10,cnn_0084.v4_gold_conll,7,4
bn_5_10,cnn_0125.v4_gold_conll,5,4
bn_5_10,cnn_0133.v4_gold_conll,6,6
bn_5_10,cnn_0192.v4_gold_conll,7,3
bn_5_10,cnn_0206.v4_gold_conll,5,4
bn_5_10,cnn_0232.v4_gold_conll,6,6
bn_5_10,cnn_0258.v4_gold_conll,8,7
bn_5_10,cnn_0264.v4_gold_conll,5,3
bn_5_10,cnn_0277.v4_gold_conll,9,5
bn_5_10,cnn_0303.v4_gold_conll,8,3
bn_5_10,cnn_0318.v4_gold_conll,5,1
bn_5_10,cnn_0365.v4_gold_conll,9,3
bn_5_10,cnn_0392.v4_gold_conll,8,5
bn_5_10,cnn_0405.v4_gold_conll,5,2
bn_5_10,pri_0001.v4_gold_conll,7,4
bn_5_10,pri_0002.v4_gold_conll,7,3
bn_5_10,pri_0031.v4_gold_conll,9,3
bn_5_10,pri_0042.v4_gold_conll,6,2
bn_5_10,pri_0065.v4_gold_conll,8,2
bn_5_10,pri_0098.v4_gold_conll,7,2
bn_5_10,voa_0003.v4_gold_conll,5,3
bn_5_10,voa_0052.v4_gold_conll,8,5
bn_5_10,voa_0094.v4_gold_conll,9,6
bn_5_10,voa_0143.v4_gold_conll,9,8
bn_5_10,voa_0153.v4_gold_conll,5,5
bn_5_10,voa_0178.v4_gold_conll,9,1
nw_0_5,chtb_0064.v4_gold_conll,2,1
nw_0_5,chtb_0171.v4_gold_conll,4,2
nw_0_5,chtb_0188.v4_gold_conll,2,1
nw_0_5,chtb_0228.v4_gold_conll,3,2
nw_0_5,wsj_0424.v4_gold_conll,2,2
nw_0_5,wsj_1030.v4_gold_conll,3,2
nw_0_5,wsj_1082.v4_gold_conll,3,1
nw_0_5,wsj_1090.v4_gold_conll,1,1
nw_0_5,wsj_1127.v4_gold_conll,3,3
nw_0_5,wsj_1152.v4_gold_conll,4,1
nw_0_5,wsj_1183.v4_gold_conll,3,3
nw_0_5,wsj_1228.v4_gold_conll,4,2
nw_0_5,wsj_1236.v4_gold_conll,4,1
nw_0_5,wsj_1240.v4_gold_conll,3,3
nw_0_5,wsj_1277.v4_gold_conll,2,1
nw_0_5,wsj_1301.v4_gold_conll,3,3
nw_0_5,wsj_1357.v4_gold_conll,4,4
nw_0_5,wsj_1370.v4_gold_conll,2,2
nw_0_5,wsj_1385.v4_gold_conll,2,2
nw_0_5,wsj_1414.v4_gold_conll,3,3
nw_0_5,wsj_1476.v4_gold_conll,4,2
nw_0_5,wsj_1497.v4_gold_conll,4,4
nw_0_5,wsj_1498.v4_gold_conll,1,1
nw_0_5,wsj_1513.v4_gold_conll,2,2
nw_0_5,wsj_1521.v4_gold_conll,2,1
nw_0_5,wsj_1527.v4_gold_conll,2,2
nw_0_5,wsj_1545.v4_gold_conll,4,1
nw_0_5,wsj_1557.v4_gold_conll,4,2
nw_0_5,wsj_1573.v4_gold_conll,4,1
nw_0_5,wsj_1989.v4_gold_conll,4,3
nw_10_15,chtb_0022.v4_gold_conll,10,8
nw_10_15,chtb_0047.v4_gold_conll,12,11
nw_10_15,chtb_0061.v4_gold_conll,11,9
nw_10_15,chtb_0074.v4_gold_conll,11,8
nw_10_15,chtb_0091.v4_gold_conll,12,8
nw_10_15,chtb_0115.v4_gold_conll,12,9
nw_10_15,chtb_0134.v4_gold_conll,14,12
nw_10_15,chtb_0163.v4_gold_conll,10,6
nw_10_15,chtb_0168.v4_gold_conll,12,8
nw_10_15,chtb_0223.v4_gold_conll,10,7
nw_10_15,chtb_0241.v4_gold_conll,10,7
nw_10_15,chtb_0244.v4_gold_conll,14,10
nw_10_15,chtb_0255.v4_gold_conll,13,12
nw_10_15,chtb_0262.v4_gold_conll,10,7
nw_10_15,chtb_0301.v4_gold_conll,10,9
nw_10_15,chtb_0306.v4_gold_conll,14,6
nw_10_15,chtb_0311.v4_gold_conll,11,7
nw_10_15,chtb_0312.v4_gold_conll,11,10
nw_10_15,chtb_0318.v4_gold_conll,13,8
nw_10_15,wsj_1062.v4_gold_conll,11,9
nw_10_15,wsj_1064.v4_gold_conll,12,9
nw_10_15,wsj_1095.v4_gold_conll,10,5
nw_10_15,wsj_1138.v4_gold_conll,12,8
nw_10_15,wsj_1141.v4_gold_conll,11,8
nw_10_15,wsj_1252.v4_gold_conll,10,0
nw_10_15,wsj_1287.v4_gold_conll,14,13
nw_10_15,wsj_1407.v4_gold_conll,11,9
nw_10_15,wsj_1438.v4_gold_conll,12,5
nw_10_15,wsj_1585.v4_gold_conll,10,7
nw_10_15,wsj_2047.v4_gold_conll,12,5
nw_15_20,chtb_0008.v4_gold_conll,16,12
nw_15_20,chtb_0025.v4_gold_conll,15,13
nw_15_20,chtb_0031.v4_gold_conll,15,11
nw_15_20,chtb_0035.v4_gold_conll,15,10
nw_15_20,chtb_0053.v4_gold_conll,18,17
nw_15_20,chtb_0058.v4_gold_conll,15,11
nw_15_20,chtb_0071.v4_gold_conll,18,13
nw_15_20,chtb_0083.v4_gold_conll,16,13
nw_15_20,chtb_0093.v4_gold_conll,16,14
nw_15_20,chtb_0136.v4_gold_conll,15,14
nw_15_20,chtb_0193.v4_gold_conll,18,10
nw_15_20,chtb_0196.v4_gold_conll,15,7
nw_15_20,chtb_0216.v4_gold_conll,17,11
nw_15_20,chtb_0261.v4_gold_conll,17,15
nw_15_20,chtb_0291.v4_gold_conll,17,14
nw_15_20,chtb_0294.v4_gold_conll,17,13
nw_15_20,chtb_0307.v4_gold_conll,15,11
nw_15_20,chtb_0316.v4_gold_conll,17,9
nw_15_20,wsj_1034.v4_gold_conll,17,10
nw_15_20,wsj_1053.v4_gold_conll,19,10
nw_15_20,wsj_1103.v4_gold_conll,18,13
nw_15_20,wsj_1145.v4_gold_conll,18,14
nw_15_20,wsj_1178.v4_gold_conll,15,12
nw_15_20,wsj_1261.v4_gold_conll,17,12
nw_15_20,wsj_1262.v4_gold_conll,18,8
nw_15_20,wsj_1396.v4_gold_conll,16,14
nw_15_20,wsj_1412.v4_gold_conll,17,4
nw_15_20,wsj_1429.v4_gold_conll,19,10
nw_15_20,wsj_1563.v4_gold_conll,18,13
nw_15_20,wsj_1591.v4_gold_conll,16,11
nw_20_25,chtb_0013.v4_gold_conll,24,23
nw_20_25,chtb_0038.v4_gold_conll,21,12
nw_20_25,chtb_0086.v4_gold_conll,20,16
nw_20_25,chtb_0096.v4_gold_conll,22,14
nw_20_25,chtb_0118.v4_gold_conll,23,18
nw_20_25,chtb_0242.v4_gold_conll,20,13
nw_20_25,chtb_0251.v4_gold_conll,22,17
nw_20_25,chtb_0254.v4_gold_conll,22,12
nw_20_25,chtb_0257.v4_gold_conll,24,12
nw_20_25,chtb_0267.v4_gold_conll,22,16
nw_20_25,chtb_0284.v4_gold_conll,20,18
nw_20_25,chtb_0308.v4_gold_conll,22,15
nw_20_25,wsj_1004.v4_gold_conll,21,20
nw_20_25,wsj_1007.v4_gold_conll,21,17
nw_20_25,wsj_1110.v4_gold_conll,23,17
nw_20_25,wsj_1123.v4_gold_conll,21,12
nw_20_25,wsj_1125.v4_gold_conll,23,11
nw_20_25,wsj_1126.v4_gold_conll,21,16
nw_20_25,wsj_1151.v4_gold_conll,23,17
nw_20_25,wsj_1172.v4_gold_conll,23,15
nw_20_25,wsj_1184.v4_gold_conll,24,20
nw_20_25,wsj_1258.v4_gold_conll,20,10
nw_20_25,wsj_1349.v4_gold_conll,22,18
nw_20_25,wsj_1404.v4_gold_conll,20,15
nw_20_25,wsj_1416.v4_gold_conll,20,13
nw_20_25,wsj_1423.v4_gold_conll,23,18
nw_20_25,wsj_1447.v4_gold_conll,21,16
nw_20_25,wsj_1512.v4_gold_conll,24,18
nw_20_25,wsj_1560.v4_gold_conll,23,20
nw_20_25,wsj_1947.v4_gold_conll,22,3
nw_25_30,chtb_0024.v4_gold_conll,27,18
nw_25_30,chtb_0042.v4_gold_conll,27,23
nw_25_30,chtb_0052.v4_gold_conll,25,16
nw_25_30,chtb_0068.v4_gold_conll,25,21
nw_25_30,chtb_0088.v4_gold_conll,25,19
nw_25_30,chtb_0112.v4_gold_conll,27,10
nw_25_30,chtb_0143.v4_gold_conll,27,23
nw_25_30,chtb_0147.v4_gold_conll,29,26
nw_25_30,chtb_0208.v4_gold_conll,25,23
nw_25_30,chtb_0252.v4_gold_conll,28,17
nw_25_30,chtb_0315.v4_gold_conll,26,23
nw_25_30,wsj_0590.v4_gold_conll,29,13
nw_25_30,wsj_0655.v4_gold_conll,27,25
nw_25_30,wsj_0755.v4_gold_conll,29,13
nw_25_30,wsj_1043.v4_gold_conll,29,9
nw_25_30,wsj_1092.v4_gold_conll,28,13
nw_25_30,wsj_1102.v4_gold_conll,28,17
nw_25_30,wsj_1139.v4_gold_conll,26,18
nw_25_30,wsj_1140.v4_gold_conll,29,17
nw_25_30,wsj_1149.v4_gold_conll,27,20
nw_25_30,wsj_1190.v4_gold_conll,27,23
nw_25_30,wsj_1246.v4_gold_conll,27,17
nw_25_30,wsj_1253.v4_gold_conll,27,19
nw_25_30,wsj_1335.v4_gold_conll,27,16
nw_25_30,wsj_1386.v4_gold_conll,29,17
nw_25_30,wsj_1389.v4_gold_conll,28,14
nw_25_30,wsj_1391.v4_gold_conll,28,20
nw_25_30,wsj_1405.v4_gold_conll,28,21
nw_25_30,wsj_1482.v4_gold_conll,25,19
nw_25_30,wsj_1846.v4_gold_conll,26,16
nw_30_35,chtb_0142.v4_gold_conll,30,19
nw_30_35,chtb_0258.v4_gold_conll,31,25
nw_30_35,wsj_0347.v4_gold_conll,30,13
nw_30_35,wsj_0587.v4_gold_conll,33,17
nw_30_35,wsj_1000.v4_gold_conll,32,27
nw_30_35,wsj_1017.v4_gold_conll,34,25
nw_30_35,wsj_1019.v4_gold_conll,33,24
nw_30_35,wsj_1118.v4_gold_conll,31,8
nw_30_35,wsj_1143.v4_gold_conll,33,22
nw_30_35,wsj_1160.v4_gold_conll,31,22
nw_30_35,wsj_1216.v4_gold_conll,31,11
nw_30_35,wsj_1264.v4_gold_conll,33,20
nw_30_35,wsj_1315.v4_gold_conll,31,21
nw_30_35,wsj_1339.v4_gold_conll,30,9
nw_30_35,wsj_1353.v4_gold_conll,31,13
nw_30_35,wsj_1418.v4_gold_conll,31,21
nw_30_35,wsj_1421.v4_gold_conll,31,26
nw_30_35,wsj_1434.v4_gold_conll,30,13
nw_30_35,wsj_1473.v4_gold_conll,31,15
nw_30_35,wsj_1502.v4_gold_conll,34,25
nw_30_35,wsj_1984.v4_gold_conll,33,16
nw_35_40,chtb_0144.v4_gold_conll,36,22
nw_35_40,chtb_0238.v4_gold_conll,39,29
nw_35_40,wsj_0490.v4_gold_conll,35,15
nw_35_40,wsj_0595.v4_gold_conll,36,19
nw_35_40,wsj_0596.v4_gold_conll,35,21
nw_35_40,wsj_0616.v4_gold_conll,35,29
nw_35_40,wsj_1041.v4_gold_conll,36,21
nw_35_40,wsj_1044.v4_gold_conll,38,22
nw_35_40,wsj_1055.v4_gold_conll,39,18
nw_35_40,wsj_1147.v4_gold_conll,35,21
nw_35_40,wsj_1158.v4_gold_conll,36,20
nw_35_40,wsj_1163.v4_gold_conll,36,20
nw_35_40,wsj_1271.v4_gold_conll,37,18
nw_35_40,wsj_1307.v4_gold_conll,36,14
nw_35_40,wsj_1428.v4_gold_conll,39,25
nw_35_40,wsj_1448.v4_gold_conll,38,21
nw_35_40,wsj_1500.v4_gold_conll,38,21
nw_35_40,wsj_1506.v4_gold_conll,35,28
nw_35_40,wsj_1547.v4_gold_conll,35,19
nw_35_40,wsj_1730.v4_gold_conll,36,15
nw_35_40,wsj_1924.v4_gold_conll,35,21
nw_40_45,chtb_0072.v4_gold_conll,43,27
nw_40_45,wsj_0283.v4_gold_conll,41,24
nw_40_45,wsj_0591.v4_gold_conll,40,29
nw_40_45,wsj_0592.v4_gold_conll,43,24
nw_40_45,wsj_0598.v4_gold_conll,42,22
nw_40_45,wsj_0804.v4_gold_conll,43,30
nw_40_45,wsj_1137.v4_gold_conll,43,28
nw_40_45,wsj_1174.v4_gold_conll,41,20
nw_40_45,wsj_1250.v4_gold_conll,40,24
nw_40_45,wsj_1274.v4_gold_conll,44,23
nw_40_45,wsj_1312.v4_gold_conll,43,27
nw_40_45,wsj_1323.v4_gold_conll,42,15
nw_40_45,wsj_1368.v4_gold_conll,40,16
nw_40_45,wsj_1373.v4_gold_conll,43,27
nw_40_45,wsj_1387.v4_gold_conll,41,28
nw_40_45,wsj_1435.v4_gold_conll,44,19
nw_40_45,wsj_1556.v4_gold_conll,41,23
nw_40_45,wsj_1566.v4_gold_conll,42,27
nw_40_45,wsj_1682.v4_gold_conll,40,20
nw_40_45,wsj_1946.v4_gold_conll,43,28
nw_40_45,wsj_2102.v4_gold_conll,40,19
nw_40_45,wsj_2136.v4_gold_conll,40,17
nw_45_50,wsj_0937.v4_gold_conll,48,18
nw_45_50,wsj_1121.v4_gold_conll,46,14
nw_45_50,wsj_1122.v4_gold_conll,46,25
nw_45_50,wsj_1162.v4_gold_conll,49,25
nw_45_50,wsj_1206.v4_gold_conll,45,42
nw_45_50,wsj_1218.v4_gold_conll,45,28
nw_45_50,wsj_1270.v4_gold_conll,48,24
nw_45_50,wsj_1273.v4_gold_conll,48,32
nw_45_50,wsj_1284.v4_gold_conll,46,24
nw_45_50,wsj_1296.v4_gold_conll,47,39
nw_45_50,wsj_1327.v4_gold_conll,46,29
nw_45_50,wsj_1424.v4_gold_conll,48,25
nw_45_50,wsj_1432.v4_gold_conll,47,34
nw_45_50,wsj_1436.v4_gold_conll,49,28
nw_45_50,wsj_1470.v4_gold_conll,46,25
nw_45_50,wsj_1474.v4_gold_conll,46,28
nw_45_50,wsj_1493.v4_gold_conll,49,33
nw_45_50,wsj_1499.v4_gold_conll,46,23
nw_45_50,wsj_1504.v4_gold_conll,49,34
nw_45_50,wsj_1515.v4_gold_conll,48,36
nw_45_50,wsj_1550.v4_gold_conll,48,41
nw_45_50,wsj_1564.v4_gold_conll,48,28
nw_45_50,wsj_1583.v4_gold_conll,46,23
nw_45_50,wsj_1695.v4_gold_conll,47,27
nw_45_50,wsj_2151.v4_gold_conll,47,24
nw_5_10,chtb_0002.v4_gold_conll,9,6
nw_5_10,chtb_0028.v4_gold_conll,8,4
nw_5_10,chtb_0044.v4_gold_conll,7,6
nw_5_10,chtb_0048.v4_gold_conll,9,7
nw_5_10,chtb_0051.v4_gold_conll,7,6
nw_5_10,chtb_0085.v4_gold_conll,9,7
nw_5_10,chtb_0095.v4_gold_conll,6,5
nw_5_10,chtb_0098.v4_gold_conll,6,4
nw_5_10,chtb_0124.v4_gold_conll,9,7
nw_5_10,chtb_0125.v4_gold_conll,7,6
nw_5_10,chtb_0158.v4_gold_conll,8,6
nw_5_10,chtb_0177.v4_gold_conll,9,8
nw_5_10,chtb_0212.v4_gold_conll,7,4
nw_5_10,chtb_0226.v4_gold_conll,9,6
nw_5_10,chtb_0253.v4_gold_conll,5,3
nw_5_10,chtb_0277.v4_gold_conll,7,4
nw_5_10,wsj_0597.v4_gold_conll,6,6
nw_5_10,wsj_1091.v4_gold_conll,7,6
nw_5_10,wsj_1116.v4_gold_conll,7,4
nw_5_10,wsj_1169.v4_gold_conll,6,4
nw_5_10,wsj_1188.v4_gold_conll,6,4
nw_5_10,wsj_1341.v4_gold_conll,5,5
nw_5_10,wsj_1343.v4_gold_conll,5,5
nw_5_10,wsj_1363.v4_gold_conll,8,5
nw_5_10,wsj_1431.v4_gold_conll,5,5
nw_5_10,wsj_1472.v4_gold_conll,6,5
nw_5_10,wsj_1514.v4_gold_conll,6,6
nw_5_10,wsj_1520.v4_gold_conll,5,3
nw_5_10,wsj_1537.v4_gold_conll,5,5
nw_5_10,wsj_1607.v4_gold_conll,9,9
